task_id,arm,method,seconds,calibration_fitting_shared_seconds,regime,pilot_update_seconds,pilot_evaluation_seconds
s9303_r1_n000_a125,feedback_only,gaussian_plugin_fullbatch,0.029495346010662615,0.14560092194005847,,,
s9303_r1_n000_a125,feedback_only,gaussian_plugin_sgd,0.03304589807521552,0.14560092194005847,,,
s9303_r1_n000_a125,feedback_only,gaussian_oracle_fullbatch,0.0004998910007998347,0.0,,,
s9303_r1_n000_a125,feedback_only,gaussian_oracle_sgd,0.026229121023789048,0.0,,,
s9303_r1_n000_a125,feedback_only,empirical_split_fullbatch,0.010511031956411898,,,,
s9303_r1_n000_a125,feedback_only,original_scalar,0.028530686045996845,,,,
s9303_r1_n000_a125,joint_forward_feedback,gaussian_plugin_fullbatch,0.0004765320336446166,0.002286541974171996,,,
s9303_r1_n000_a125,joint_forward_feedback,gaussian_plugin_sgd,0.026381024974398315,0.002286541974171996,,,
s9303_r1_n000_a125,joint_forward_feedback,gaussian_oracle_fullbatch,0.0004882250213995576,0.0,,,
s9303_r1_n000_a125,joint_forward_feedback,gaussian_oracle_sgd,0.026193325989879668,0.0,,,
s9303_r1_n000_a125,joint_forward_feedback,empirical_split_fullbatch,0.00970287004020065,,,,
s9303_r1_n000_a125,joint_forward_feedback,original_scalar,0.028265655040740967,,,,
s9303_r1_n000_a375,feedback_only,gaussian_plugin_fullbatch,0.00047571398317813873,0.002331770956516266,,,
s9303_r1_n000_a375,feedback_only,gaussian_plugin_sgd,0.026020878925919533,0.002331770956516266,,,
s9303_r1_n000_a375,feedback_only,gaussian_oracle_fullbatch,0.0004691369831562042,0.0,,,
s9303_r1_n000_a375,feedback_only,gaussian_oracle_sgd,0.026042149984277785,0.0,,,
s9303_r1_n000_a375,feedback_only,empirical_split_fullbatch,0.009854595991782844,,,,
s9303_r1_n000_a375,feedback_only,original_scalar,0.02822763507720083,,,,
s9303_r1_n000_a375,joint_forward_feedback,gaussian_plugin_fullbatch,0.00047300104051828384,0.0022729949560016394,,,
s9303_r1_n000_a375,joint_forward_feedback,gaussian_plugin_sgd,0.026096571935340762,0.0022729949560016394,,,
s9303_r1_n000_a375,joint_forward_feedback,gaussian_oracle_fullbatch,0.0004668979672715068,0.0,,,
s9303_r1_n000_a375,joint_forward_feedback,gaussian_oracle_sgd,0.026288398075848818,0.0,,,
s9303_r1_n000_a375,joint_forward_feedback,empirical_split_fullbatch,0.009758994914591312,,,,
s9303_r1_n000_a375,joint_forward_feedback,original_scalar,0.028428222984075546,,,,
s9303_r1_n750_a125,feedback_only,gaussian_plugin_fullbatch,0.00047690700739622116,0.0023055929923430085,,,
s9303_r1_n750_a125,feedback_only,gaussian_plugin_sgd,0.026381356990896165,0.0023055929923430085,,,
s9303_r1_n750_a125,feedback_only,gaussian_oracle_fullbatch,0.0004660279955714941,0.0,,,
s9303_r1_n750_a125,feedback_only,gaussian_oracle_sgd,0.02615189494099468,0.0,,,
s9303_r1_n750_a125,feedback_only,empirical_split_fullbatch,0.009939295006915927,,,,
s9303_r1_n750_a125,feedback_only,original_scalar,0.028649821993894875,,,,
s9303_r1_n750_a125,joint_forward_feedback,gaussian_plugin_fullbatch,0.00047188892494887114,0.0022935359738767147,,,
s9303_r1_n750_a125,joint_forward_feedback,gaussian_plugin_sgd,0.026019076933152974,0.0022935359738767147,,,
s9303_r1_n750_a125,joint_forward_feedback,gaussian_oracle_fullbatch,0.0004999410593882203,0.0,,,
s9303_r1_n750_a125,joint_forward_feedback,gaussian_oracle_sgd,0.026429938967339694,0.0,,,
s9303_r1_n750_a125,joint_forward_feedback,empirical_split_fullbatch,0.009791346034035087,,,,
s9303_r1_n750_a125,joint_forward_feedback,original_scalar,0.028630523942410946,,,,
s9303_r1_n750_a375,feedback_only,gaussian_plugin_fullbatch,0.0004548389697447419,0.002276257029734552,,,
s9303_r1_n750_a375,feedback_only,gaussian_plugin_sgd,0.02641410694923252,0.002276257029734552,,,
s9303_r1_n750_a375,feedback_only,gaussian_oracle_fullbatch,0.0004940079525113106,0.0,,,
s9303_r1_n750_a375,feedback_only,gaussian_oracle_sgd,0.026410039979964495,0.0,,,
s9303_r1_n750_a375,feedback_only,empirical_split_fullbatch,0.009899983066134155,,,,
s9303_r1_n750_a375,feedback_only,original_scalar,0.028654229012317955,,,,
s9303_r1_n750_a375,joint_forward_feedback,gaussian_plugin_fullbatch,0.00047122989781200886,0.0022632579784840345,,,
s9303_r1_n750_a375,joint_forward_feedback,gaussian_plugin_sgd,0.026138124987483025,0.0022632579784840345,,,
s9303_r1_n750_a375,joint_forward_feedback,gaussian_oracle_fullbatch,0.000515781925059855,0.0,,,
s9303_r1_n750_a375,joint_forward_feedback,gaussian_oracle_sgd,0.026039312942884862,0.0,,,
s9303_r1_n750_a375,joint_forward_feedback,empirical_split_fullbatch,0.009894171031191945,,,,
s9303_r1_n750_a375,joint_forward_feedback,original_scalar,0.028421930968761444,,,,
s9303_r2_n000_a125,feedback_only,gaussian_plugin_fullbatch,0.0005407019052654505,0.0027255399618297815,,,
s9303_r2_n000_a125,feedback_only,gaussian_plugin_sgd,0.03665262495633215,0.0027255399618297815,,,
s9303_r2_n000_a125,feedback_only,gaussian_oracle_fullbatch,0.0005862580146640539,0.0,,,
s9303_r2_n000_a125,feedback_only,gaussian_oracle_sgd,0.03606336400844157,0.0,,,
s9303_r2_n000_a125,feedback_only,empirical_split_fullbatch,0.02060239401180297,,,,
s9303_r2_n000_a125,feedback_only,original_scalar,0.02854191802907735,,,,
s9303_r2_n000_a125,joint_forward_feedback,gaussian_plugin_fullbatch,0.0005232479888945818,0.002678696997463703,,,
s9303_r2_n000_a125,joint_forward_feedback,gaussian_plugin_sgd,0.036188847036100924,0.002678696997463703,,,
s9303_r2_n000_a125,joint_forward_feedback,gaussian_oracle_fullbatch,0.0005339500494301319,0.0,,,
s9303_r2_n000_a125,joint_forward_feedback,gaussian_oracle_sgd,0.03634433401748538,0.0,,,
s9303_r2_n000_a125,joint_forward_feedback,empirical_split_fullbatch,0.009964048047550023,,,,
