seed,reliability_heterogeneity,method,step_size,objective_smoothness,initial_test_loss,test_loss_after_one_step,one_step_test_loss_decrease,final_train_loss,final_test_loss,final_test_accuracy,mean_initial_reliability_gain,mean_shunt_conductance,mean_final_physical_attenuation,minimum_input_rate
7100,0,exact_clean_bp,23.87581247,0.02094169573,0.3957573495,0.3917927547,0.003964594794,0.3528005829,0.3545251722,0.9990234375,0.5,0,1,0
7100,0,noisy_no_shunt,23.87581247,0.02094169573,0.3957573495,0.3918816807,0.003875668773,0.3583262549,0.3593897682,0.9936523438,0.5,0,1,0
7100,0,state_matched_additive,23.87581247,0.02094169573,0.3957573495,0.3918816807,0.003875668773,0.3583262549,0.3593897682,0.9936523438,0.5,0,1,0
7100,0,best_global_shunt,23.87581247,0.02094169573,0.3957573495,0.392981281,0.00277606852,0.3723968011,0.3732168859,0.9936523438,0.5,1.561106539,0.5184725787,0
7100,0,reliability_aligned_shunt,23.87581247,0.02094169573,0.3957573495,0.392981281,0.00277606852,0.3723968011,0.3732168859,0.9936523438,0.5,1.561106539,0.5184725787,0
7100,0,shuffled_shunt,23.87581247,0.02094169573,0.3957573495,0.392981281,0.00277606852,0.3723968011,0.3732168859,0.9936523438,0.5,1.561106539,0.5184725787,0
7100,0,anti_aligned_shunt,23.87581247,0.02094169573,0.3957573495,0.392981281,0.00277606852,0.3723968011,0.3732168859,0.9936523438,0.5,1.561106539,0.5184725787,0
7100,0,explicit_point_gate,23.87581247,0.02094169573,0.3957573495,0.392981281,0.00277606852,0.3723968011,0.3732168859,0.9936523438,0.5,1.561106539,0.5184725787,0
7100,0,aligned_clean_credit,23.87581247,0.02094169573,0.3957573495,0.392956994,0.002800355513,0.368596735,0.3698049687,0.9985351562,0.5,1.561106539,0.5143141776,0
7100,0.5,exact_clean_bp,23.87581247,0.02094169573,0.3957573495,0.3917927547,0.003964594794,0.3528005829,0.3545251722,0.9990234375,0.5,0,1,0
7100,0.5,noisy_no_shunt,23.87581247,0.02094169573,0.3957573495,0.3918056355,0.003951713967,0.355571472,0.3571251775,0.998046875,0.5,0,1,0
7100,0.5,state_matched_additive,23.87581247,0.02094169573,0.3957573495,0.3918056355,0.003951713967,0.355571472,0.3571251775,0.998046875,0.5,0,1,0
7100,0.5,best_global_shunt,23.87581247,0.02094169573,0.3957573495,0.3931927062,0.002564643352,0.3716922415,0.3727760864,0.998046875,0.5,1.847187861,0.474044473,0
7100,0.5,reliability_aligned_shunt,23.87581247,0.02094169573,0.3957573495,0.3930655259,0.002691823618,0.3706633945,0.3719500004,0.9975585938,0.5,1.917327027,0.5150416208,0
7100,0.5,shuffled_shunt,23.87581247,0.02094169573,0.3957573495,0.3929792059,0.002778143611,0.3709957766,0.3720366718,0.99609375,0.5,1.916585105,0.5160855814,0
7100,0.5,anti_aligned_shunt,23.87581247,0.02094169573,0.3957573495,0.3931031596,0.002654189884,0.3705424027,0.3712902671,0.998046875,0.5,1.917467845,0.5152765064,0
7100,0.5,explicit_point_gate,23.87581247,0.02094169573,0.3957573495,0.3930655259,0.002691823618,0.3706633945,0.3719500004,0.9975585938,0.5,1.917327027,0.5150416208,0
7100,0.5,aligned_clean_credit,23.87581247,0.02094169573,0.3957573495,0.3929928518,0.002764497734,0.3693689452,0.3708339795,0.9985351562,0.5,1.917327027,0.5134822585,0
7100,1,exact_clean_bp,23.87581247,0.02094169573,0.3957573495,0.3917927547,0.003964594794,0.3528005829,0.3545251722,0.9990234375,0.5,0,1,0
7100,1,noisy_no_shunt,23.87581247,0.02094169573,0.3957573495,0.3924881706,0.003269178892,0.3555098018,0.3582216359,0.99609375,0.5,0,1,0
7100,1,state_matched_additive,23.87581247,0.02094169573,0.3957573495,0.3924881706,0.003269178892,0.3555098018,0.3582216359,0.99609375,0.5,0,1,0
7100,1,best_global_shunt,23.87581247,0.02094169573,0.3957573495,0.3938733929,0.001883956652,0.3790862692,0.380721622,0.99609375,0.5,3.022223705,0.357445003,0
7100,1,reliability_aligned_shunt,23.87581247,0.02094169573,0.3957573495,0.3934400247,0.002317324804,0.3723289257,0.3742811926,0.9975585938,0.5,3.278099101,0.5128686073,0
7100,1,shuffled_shunt,23.87581247,0.02094169573,0.3957573495,0.3933031618,0.002454187748,0.3715438052,0.3735241102,0.9985351562,0.5,3.279359238,0.5107556428,0
7100,1,anti_aligned_shunt,23.87581247,0.02094169573,0.3957573495,0.3935992992,0.002158050347,0.3708097031,0.3720043197,0.9965820312,0.5,3.279522543,0.5115219809,0
7100,1,explicit_point_gate,23.87581247,0.02094169573,0.3957573495,0.3934400247,0.002317324804,0.3723289257,0.3742811926,0.9975585938,0.5,3.278099101,0.5128686073,0
7100,1,aligned_clean_credit,23.87581247,0.02094169573,0.3957573495,0.3930894946,0.002667854868,0.3701614673,0.371745138,0.998046875,0.5,3.278099101,0.5120963329,0
7100,1.5,exact_clean_bp,23.87581247,0.02094169573,0.3957573495,0.3917927547,0.003964594794,0.3528005829,0.3545251722,0.9990234375,0.5,0,1,0
7100,1.5,noisy_no_shunt,23.87581247,0.02094169573,0.3957573495,0.3924476863,0.003309663205,0.3577415861,0.3585558634,0.9990234375,0.5,0,1,0
7100,1.5,state_matched_additive,23.87581247,0.02094169573,0.3957573495,0.3924476863,0.003309663205,0.3577415861,0.3585558634,0.9990234375,0.5,0,1,0
7100,1.5,best_global_shunt,23.87581247,0.02094169573,0.3957573495,0.3944206981,0.001336651395,0.3849537844,0.3857764362,0.99609375,0.5,6.074845838,0.2167155816,0
7100,1.5,reliability_aligned_shunt,23.87581247,0.02094169573,0.3957573495,0.3934811502,0.002276199279,0.371734076,0.373156796,0.9985351562,0.5,6.800545894,0.5103499827,0
7100,1.5,shuffled_shunt,23.87581247,0.02094169573,0.3957573495,0.3942910589,0.001466290582,0.3773717901,0.3792236303,0.9985351562,0.5,6.796232869,0.5091112591,0
