seed,rate,status,steps,selected_step,validation_nmse,endpoint_validation_nmse,bounds,clips,first_bound_step,selected_bound_fraction,selected_replay_error,endpoint_replay_error
2026100100,0.003,completed,32768,32768,0.9098775918903553,0.9098775918903553,0,0,,0.0,0.0,0.0
2026100100,0.01,completed,32768,32768,0.22074407788377293,0.22074407788377293,0,0,,0.0,0.0,0.0
2026100100,0.03,completed,32768,32640,0.08269944472647019,0.08290137846076852,0,0,,0.0,0.0,0.0
2026100100,0.1,completed,32768,32640,0.0585877831708073,0.05898597783107036,0,0,,0.0,0.0,0.0
2026100100,0.3,completed,32768,32768,0.041144902864760614,0.041144902864760614,0,0,,0.0,0.0,0.0
2026100100,1.0,completed,32768,0,1.0933914505155649,146.3957399668688,0,32759,,0.0,0.0,0.0
2026100101,0.003,completed,32768,32768,0.8518970756953577,0.8518970756953577,0,0,,0.0,0.0,0.0
2026100101,0.01,completed,32768,32768,0.22019693404789312,0.22019693404789312,0,0,,0.0,0.0,0.0
2026100101,0.03,completed,32768,32768,0.07697647324713827,0.07697647324713827,0,0,,0.0,0.0,0.0
2026100101,0.1,completed,32768,32384,0.05533854931591271,0.055593549592980684,0,0,,0.0,0.0,0.0
2026100101,0.3,completed,32768,32384,0.025003131945878637,0.026010085464408857,0,0,,0.0,0.0,0.0
2026100101,1.0,completed,32768,0,1.149854689898098,90.44166396866248,0,32765,,0.0,0.0,0.0
2026100102,0.003,completed,32768,32768,0.9038299129543707,0.9038299129543707,0,0,,0.0,0.0,0.0
2026100102,0.01,completed,32768,32768,0.23666785533890575,0.23666785533890575,0,0,,0.0,0.0,0.0
2026100102,0.03,completed,32768,32640,0.08164156247993823,0.0816602777180464,0,0,,0.0,0.0,0.0
2026100102,0.1,completed,32768,32640,0.060878499570923325,0.06088885801013833,0,0,,0.0,0.0,0.0
2026100102,0.3,completed,32768,32768,0.030020463275998152,0.030020463275998152,0,0,,0.0,0.0,0.0
2026100102,1.0,completed,32768,0,1.009097289117868,139.90038382314236,0,32757,,0.0,0.0,0.0
