seed,task,phase,common_rate,optimizer,rate,rule,selected_rate,best_step,validation_nmse,test_nmse,path_ancestry_three_oracle_capture,path_rank_one_capture,path_effective_rank,path_unit_oracle_capture,path_calibrated_oracle_capture,credit_ancestry_three_oracle_capture,credit_rank_one_capture,credit_effective_rank,credit_unit_oracle_capture,credit_calibrated_oracle_capture,eligibility_calibrated_oracle_capture,loss_eligibility_calibrated_oracle_capture
2102,opposed_strong,extension,True,adam,0.03,exact,True,12288,1.7655917808806837e-07,1.7769060244595187e-07,0.9763856636244879,0.88261603344696,1.2613679873772257,0.5216403745189395,0.8399251897233623,0.9766635716365342,0.8870088025250725,1.250700976524496,0.520604987815887,0.8330410441552654,0.641974210571908,0.6770230433161661
2102,opposed_strong,extension,True,adam,0.03,unit_broadcast,True,8192,0.444382256955872,0.45127222586625415,0.7659722129830409,0.8427104716237018,1.360727620219362,0.49212208108524785,0.6238371069879757,0.7638838911672033,0.8431887047847721,1.3595139942895282,0.4921320273546108,0.6219054963250834,0.1733725877700537,0.2548524614972242
2102,opposed_strong,extension,True,adam,0.03,calibrated_broadcast,True,8192,0.4443821903075687,0.45127234069436495,0.7659724396340093,0.8427104545914317,1.3607276634510594,0.4921221548997237,0.6238372606444109,0.7638847805149749,0.8431885279396055,1.3595144429869435,0.49213209784648415,0.6219062632886121,0.1733723187180949,0.25485341927141847
2102,opposed_strong,extension,True,adam,0.03,ancestry_three_oracle,True,16384,1.5375340152037037e-09,1.6284284647877066e-09,0.9759916044027606,0.8814885685951351,1.26411533952056,0.5190688233682287,0.8383799922595406,0.9769643978567365,0.9080033820150415,1.2005760083164811,0.5154255016908931,0.8145184718228269,0.6397304358897449,0.585126490560764
2102,opposed_strong,extension,True,sgd,0.3,exact,True,16384,0.00010731038852175432,0.00011530482043853217,0.9813983825791717,0.8751519955917662,1.2796264889552722,0.5181251811510743,0.8433459018904709,0.9820904881602817,0.9052984706048378,1.2069515088367466,0.5167837394105019,0.8217660337105823,0.6203787226134166,0.5800828816387301
2102,opposed_strong,extension,True,sgd,0.3,unit_broadcast,True,4096,0.4479168322699366,0.4563735649222866,0.7903542513523922,0.8435190956371169,1.3586758292879744,0.4991533866763153,0.6414260744639859,0.7886774131030558,0.8438126403601363,1.357931329929277,0.49915673422801526,0.6398972616488836,0.19800364295709616,0.2847454176138654
2102,opposed_strong,extension,True,sgd,0.3,calibrated_broadcast,True,8192,0.4620734424074844,0.4698964506368315,0.8640396096583838,0.8451521811210708,1.3545362389763214,0.5004498464293617,0.6793900128171904,0.8670334804743876,0.8457746372544643,1.352959911833743,0.5004509483333193,0.6817518400407413,0.3248939861823431,0.4121367238344442
2102,opposed_strong,extension,True,sgd,0.3,ancestry_three_oracle,True,16384,0.00010488350702112684,0.0001128943127614616,0.9807620319020739,0.875339642027753,1.2791654622108715,0.5175935483045774,0.8426373148054915,0.9814663845697313,0.9044703015302981,1.2089085199401692,0.5161710364281459,0.8213149192765308,0.619177596962557,0.579489561987756
2102,aligned_strong,extension,True,adam,0.03,exact,True,12288,8.679476419973416e-08,8.47757771336012e-08,0.9939947045462881,0.8903743108249514,1.2425691181036973,0.549027739951658,0.8817504811331833,0.9941043164921,0.9086327342702013,1.1990962320074756,0.5534749941456413,0.8731918277174172,0.7332571761930048,0.7465712536744487
2102,aligned_strong,extension,True,adam,0.03,unit_broadcast,True,4096,0.0013610856470841,0.0013885556571216185,0.8899664914342245,0.9495026669261405,1.106065859106529,0.6357619590250094,0.8189629800443183,0.9000340537182752,0.9488894348251744,1.107415481823045,0.622223185009871,0.8244520827023235,0.7737890611147207,0.7485600002362999
2102,aligned_strong,extension,True,adam,0.03,calibrated_broadcast,True,4096,0.0013610863499788,0.0013885575186452592,0.8899661625318774,0.9495025569846286,1.106066100939765,0.6357620060288355,0.8189629615808569,0.9000355135517498,0.9488893338203365,1.107415704237378,0.6222208139137666,0.8244530352003138,0.7737910294953034,0.7485586903856964
