index,arm,depth,seed,best_epoch,best_loss,elapsed_seconds,epoch,patience_counter,train_loss,valid_loss
0,broadcast_autograd_bp_recipe,3,10200,1,0.6907875681877136,3.057989544933662,1,0,0.691524675488472,0.6907875681877136
0,broadcast_autograd_bp_recipe,3,10200,2,0.6891767265319825,3.5801819729385898,2,0,0.6902521207928658,0.6891767265319825
0,broadcast_autograd_bp_recipe,3,10200,3,0.6887036945343018,4.100861677899957,3,0,0.68931465446949,0.6887036945343018
0,broadcast_autograd_bp_recipe,3,10200,4,0.6877547643661499,4.62072400492616,4,0,0.6875110119581223,0.6877547643661499
0,broadcast_autograd_bp_recipe,3,10200,5,0.6847646675109863,5.147803313913755,5,0,0.6859476804733277,0.6847646675109863
0,broadcast_autograd_bp_recipe,3,10200,6,0.6826417936325073,5.667773252935149,6,0,0.6837537229061127,0.6826417936325073
0,broadcast_autograd_bp_recipe,3,10200,7,0.6799969687461853,6.199548156000674,7,0,0.6815558612346649,0.6799969687461853
0,broadcast_autograd_bp_recipe,3,10200,8,0.677336695098877,6.722623355919495,8,0,0.6800920605659485,0.677336695098877
0,broadcast_autograd_bp_recipe,3,10200,9,0.6745828084945679,7.245101550943218,9,0,0.6765111759305,0.6745828084945679
0,broadcast_autograd_bp_recipe,3,10200,10,0.6718986382484436,7.946922025992535,10,0,0.6740848109126091,0.6718986382484436
0,broadcast_autograd_bp_recipe,3,10200,11,0.6700052057266236,8.468079060898162,11,0,0.6714944988489151,0.6700052057266236
0,broadcast_autograd_bp_recipe,3,10200,12,0.6659858669281006,8.9864667969523,12,0,0.6684342145919799,0.6659858669281006
0,broadcast_autograd_bp_recipe,3,10200,13,0.6632181200027466,9.505103105911985,13,0,0.6643148615956307,0.6632181200027466
0,broadcast_autograd_bp_recipe,3,10200,14,0.6605752726554871,10.027122402912937,14,0,0.6619408026337623,0.6605752726554871
0,broadcast_autograd_bp_recipe,3,10200,15,0.6594755213737488,10.546978900907561,15,0,0.6603831991553306,0.6594755213737488
0,broadcast_autograd_bp_recipe,3,10200,16,0.6585576751708985,11.069495369913056,16,0,0.6608031705021858,0.6585576751708985
0,broadcast_autograd_bp_recipe,3,10200,17,0.6537869943618775,11.591460538911633,17,0,0.6559836030006408,0.6537869943618775
0,broadcast_autograd_bp_recipe,3,10200,17,0.6537869943618775,12.103310767910443,18,1,0.6550522908568382,0.6545610437393189
0,broadcast_autograd_bp_recipe,3,10200,19,0.6511178363800049,12.622814236907288,19,0,0.6522029519081116,0.6511178363800049
0,broadcast_autograd_bp_recipe,3,10200,20,0.6485901796340943,13.14895134291146,20,0,0.6513657093048095,0.6485901796340943
0,broadcast_autograd_bp_recipe,3,10200,21,0.646753178691864,13.669146546977572,21,0,0.651945935189724,0.646753178691864
0,broadcast_autograd_bp_recipe,3,10200,22,0.6451286687850952,14.189454427920282,22,0,0.645898500084877,0.6451286687850952
0,broadcast_autograd_bp_recipe,3,10200,23,0.6441189450263977,14.70850241696462,23,0,0.644674400985241,0.6441189450263977
0,broadcast_autograd_bp_recipe,3,10200,24,0.6421336087226868,15.228413282893598,24,0,0.6444861263036727,0.6421336087226868
0,broadcast_autograd_bp_recipe,3,10200,24,0.6421336087226868,15.742344023892656,25,1,0.6458458289504051,0.6426307986259461
0,broadcast_autograd_bp_recipe,3,10200,26,0.6391746543884277,16.26109004789032,26,0,0.6421839535236359,0.6391746543884277
0,broadcast_autograd_bp_recipe,3,10200,27,0.6378090207099915,16.783607972902246,27,0,0.6404506370425225,0.6378090207099915
0,broadcast_autograd_bp_recipe,3,10200,28,0.6365633159637452,17.30197401100304,28,0,0.638719166815281,0.6365633159637452
0,broadcast_autograd_bp_recipe,3,10200,29,0.635565728378296,17.820325167966075,29,0,0.6364387825131417,0.635565728378296
0,broadcast_autograd_bp_recipe,3,10200,30,0.6338371035575867,18.345367357949726,30,0,0.6344114750623703,0.6338371035575867
