config_id,sweep,model,strategy,seed,dataset,last_epoch,test_accuracy,train_accuracy,valid_accuracy,broadcast_bandwidth,broadcast_bits,broadcast_topk_fraction,use_additive_normalization
config_0,sweep_neurips_fa_dfa_v2_20260225132701,dendritic_shunting,standard,42,mnist,200,0.906499981880188,0.9801666736602783,0.9039814472198486,,,,
config_1,sweep_neurips_fa_dfa_v2_20260225132701,dendritic_shunting,standard,43,mnist,200,0.9167999625205994,0.9816666841506958,0.9120000004768372,,,,
config_10,sweep_neurips_fa_dfa_v2_20260225132701,dendritic_shunting,dfa,42,mnist,200,0.6613999605178833,0.6473333239555359,0.655129611492157,,,,
config_11,sweep_neurips_fa_dfa_v2_20260225132701,dendritic_shunting,dfa,43,mnist,200,0.6275999546051025,0.6308333277702332,0.6231296062469482,,,,
config_12,sweep_neurips_fa_dfa_v2_20260225132701,dendritic_shunting,dfa,44,mnist,200,0.6596999764442444,0.6501666307449341,0.6518332958221436,,,,
config_13,sweep_neurips_fa_dfa_v2_20260225132701,dendritic_shunting,dfa,45,mnist,200,0.6814999580383301,0.6813333034515381,0.6758703589439392,,,,
config_14,sweep_neurips_fa_dfa_v2_20260225132701,dendritic_shunting,dfa,46,mnist,200,0.6761999726295471,0.6738333106040955,0.6640926003456116,,,,
config_15,sweep_neurips_fa_dfa_v2_20260225132701,dendritic_additive,standard,42,mnist,200,0.8970999717712402,0.972000002861023,0.8929259181022644,,,,
config_16,sweep_neurips_fa_dfa_v2_20260225132701,dendritic_additive,standard,43,mnist,200,0.8991999626159668,0.9754999876022339,0.8923333287239075,,,,
config_17,sweep_neurips_fa_dfa_v2_20260225132701,dendritic_additive,standard,44,mnist,200,0.9003999829292297,0.9733332991600037,0.898888885974884,,,,
config_18,sweep_neurips_fa_dfa_v2_20260225132701,dendritic_additive,standard,45,mnist,200,0.8940999507904053,0.9741666316986084,0.8914999961853027,,,,
config_19,sweep_neurips_fa_dfa_v2_20260225132701,dendritic_additive,standard,46,mnist,200,0.8966999650001526,0.9716666340827942,0.8941296339035034,,,,
config_2,sweep_neurips_fa_dfa_v2_20260225132701,dendritic_shunting,standard,44,mnist,200,0.9133999943733215,0.9785000085830688,0.9101481437683105,,,,
config_25,sweep_neurips_fa_dfa_v2_20260225132701,dendritic_additive,dfa,42,mnist,200,0.6865999698638916,0.6675000190734863,0.6792962551116943,,,,
config_26,sweep_neurips_fa_dfa_v2_20260225132701,dendritic_additive,dfa,43,mnist,200,0.5676999688148499,0.5736666321754456,0.5699814558029175,,,,
